layer,kv,win_primary,win3_primary,diffuse_primary,margin_3,margin_10,margin_25,margin_50,facility_3,kcenter_3,keydiff_cen_3,keydiff_unc_3,logdet_cen_3,facility_10,kcenter_10,keydiff_cen_10,keydiff_unc_10,logdet_cen_10,facility_25,kcenter_25,keydiff_cen_25,keydiff_unc_25,logdet_cen_25,facility_50,kcenter_50,keydiff_cen_50,keydiff_unc_50,logdet_cen_50,PR,spectral_tail,outlier_fraction,clusteredness
29,3,kcenter,kcenter,0,0.5522,0.0844,0.0664,0.2041,1.0110,0.4588,1.2460,0.3136,0.4965,0.6040,0.5196,0.6113,0.3813,0.5175,0.5029,0.5693,0.4388,0.4075,0.5310,0.5599,0.7639,0.3515,0.3450,0.4835,27.9995,0.8949,0.0074,0.0741
29,4,kcenter,kcenter,0,0.5777,0.0283,0.1047,0.3226,0.8837,0.3060,1.3990,0.1542,0.2683,0.3294,0.3576,0.5393,0.1636,0.2781,0.3625,0.4671,0.2726,0.1639,0.2755,0.6546,0.9773,0.1577,0.1605,0.3070,31.9020,0.9096,0.0092,0.0655
29,5,kcenter,kcenter,0,0.9684,0.0108,0.0119,0.0029,1.1860,0.2176,1.1623,0.0799,0.2224,0.2697,0.2588,1.3556,0.0856,0.1965,0.3456,0.3337,0.3571,0.1015,0.1750,0.4402,0.4430,0.1622,0.1196,0.1728,30.8822,0.8991,0.0096,0.0757
29,6,kcenter,kcenter,0,0.8898,0.0308,0.0902,0.4290,1.1189,0.2290,0.2816,0.0298,0.1346,0.2150,0.2458,0.0589,0.0343,0.1062,0.2550,0.3451,0.0538,0.0369,0.0923,0.4962,0.9252,0.0423,0.0463,0.1107,23.6269,0.8629,0.0224,0.1002
29,7,kcenter,kcenter,0,0.3052,0.0352,0.0639,0.3686,0.4968,0.1915,1.1907,0.0831,0.1153,0.1625,0.1977,0.3146,0.1050,0.1333,0.2127,0.2766,0.1509,0.1438,0.1602,0.3787,0.7473,0.2046,0.2083,0.2327,26.0016,0.8756,0.0354,0.0913
30,0,kcenter,kcenter,0,0.5312,0.1623,0.2020,0.3457,0.9056,0.3744,1.3272,0.2166,0.3604,0.3490,0.5114,1.2950,0.2723,0.3426,0.4745,0.6765,0.8195,0.2843,0.4170,0.5701,0.9158,0.4317,0.2196,0.3594,28.8001,0.9045,0.0045,0.0679
30,1,kcenter,kcenter,0,0.6476,0.0005,0.1222,0.3885,1.0011,0.3535,1.7472,0.2209,0.3537,0.6324,0.6329,2.2177,0.3983,0.5015,0.8201,0.6979,1.3164,0.4100,0.5296,1.3697,0.9812,0.8526,0.4373,0.6154,31.4786,0.9090,0.0249,0.0650
30,2,kcenter,kcenter,0,0.5479,0.0411,0.0880,0.2463,0.8912,0.3433,1.5401,0.3316,0.3734,0.4911,0.5322,1.7625,0.4957,0.5282,0.5136,0.6016,1.9497,0.5189,0.5580,0.6180,0.8643,1.1174,0.5461,0.5890,33.0731,0.9218,0.0191,0.0557
30,3,kcenter,kcenter,0,0.5640,0.0153,0.0402,0.1182,0.9390,0.3749,2.1877,0.3886,0.4160,0.4615,0.4462,1.0152,0.4539,0.4909,0.6128,0.6530,0.9335,0.5245,0.6214,0.7699,0.8880,0.5923,0.5167,0.5979,24.0134,0.8751,0.0135,0.0924
30,4,kcenter,kcenter,0,0.5000,0.0619,0.1444,0.3903,0.9749,0.4749,0.9418,0.3470,0.4349,0.5416,0.6035,0.7787,0.4753,0.5750,0.5884,0.7327,0.8567,0.5185,0.5874,0.7154,1.1057,0.5648,0.5397,0.6109,29.3380,0.9021,0.0075,0.0720
30,5,kcenter,kcenter,0,0.4524,0.0957,0.1236,0.2302,0.6475,0.1952,2.2447,0.0878,0.1682,0.3734,0.2778,2.1722,0.1246,0.1806,0.4588,0.3352,2.0363,0.1458,0.2061,0.6802,0.4500,0.6227,0.1683,0.2318,37.5273,0.9074,0.0198,0.0692
30,6,kcenter,kcenter,0,0.5839,0.3082,0.2777,0.5642,0.9363,0.3525,1.0994,0.1098,0.3038,0.2010,0.5092,1.2542,0.1729,0.2459,0.2304,0.5080,1.2563,0.1962,0.2699,0.6036,1.1677,0.9742,0.5061,0.6383,34.1307,0.9184,0.0037,0.0566
30,7,kcenter,kcenter,0,0.6685,0.0675,0.0929,0.3173,1.0776,0.4092,1.5046,0.1434,0.2374,0.2994,0.3669,0.4219,0.1556,0.2711,0.3593,0.4522,0.3108,0.1628,0.2735,0.4284,0.7457,0.1640,0.1474,0.2637,30.5609,0.9010,0.0172,0.0713
31,0,facility,facility,0,0.1228,0.0907,0.0120,0.0337,0.8839,1.0067,1.6983,1.1233,1.0321,0.9923,1.0831,1.8047,1.2224,1.1299,1.0227,1.0347,1.5729,1.1297,1.0690,1.0869,1.1206,1.1277,0.8832,0.8848,27.9816,0.8981,0.0170,0.0724
31,1,kcenter,kcenter,0,0.5087,0.0603,0.0366,0.0602,0.8257,0.3170,1.5212,0.3014,0.3090,0.4576,0.5179,1.6673,0.4196,0.4670,0.6427,0.6793,1.9090,0.4809,0.5747,0.8290,0.8893,0.9253,0.4612,0.6076,24.5423,0.8716,0.0051,0.1031
31,2,kcenter,kcenter,0,0.7679,0.0212,0.0408,0.0422,1.0252,0.2573,2.0751,0.1680,0.2523,0.3374,0.3587,1.8399,0.2435,0.2967,0.5136,0.5544,1.0550,0.3849,0.4275,0.6082,0.6505,0.3128,0.2934,0.4050,29.1606,0.8768,0.0244,0.0956
31,3,kcenter,kcenter,0,0.6337,0.0060,0.0197,0.0678,0.8964,0.2627,1.3003,0.1672,0.2555,0.3548,0.3488,1.1216,0.2219,0.3180,0.4689,0.4492,1.2210,0.2675,0.3932,0.6305,0.5628,0.7026,0.2711,0.4383,30.5117,0.8978,0.0166,0.0752
31,4,kcenter,kcenter,0,0.5898,0.1281,0.0569,0.0982,1.0184,0.4285,1.2525,0.2903,0.3073,0.4391,0.5672,0.8634,0.3428,0.4744,0.5370,0.5939,0.5315,0.3162,0.4469,0.5710,0.6692,0.2967,0.2532,0.3402,25.7202,0.8974,0.0009,0.0721
31,5,kcenter,kcenter,0,0.5395,0.0033,0.0438,0.1088,0.8795,0.3400,2.3775,0.2261,0.3444,0.4444,0.4411,2.4963,0.3018,0.4080,0.5198,0.4760,1.0129,0.3395,0.4051,0.6088,0.5000,0.3762,0.3020,0.3757,25.2020,0.8718,0.0146,0.0890
31,6,kcenter,kcenter,0,0.4307,0.0138,0.0847,0.2531,0.9164,0.4857,1.1371,0.3159,0.4777,0.5641,0.5779,0.7581,0.4128,0.5532,0.7459,0.8306,0.7006,0.5390,0.6687,1.0205,1.2736,0.5107,0.4910,0.6810,30.1441,0.9048,0.0109,0.0658
31,7,kcenter,kcenter,0,0.8483,0.0039,0.0150,0.0055,1.0923,0.2439,1.4091,0.1844,0.2591,0.3363,0.3325,1.4299,0.2252,0.3263,0.3987,0.3837,1.4158,0.2361,0.3462,0.3873,0.3928,0.6963,0.2161,0.2673,31.8491,0.9141,0.0020,0.0645
